Date,Body Weight,Calories,Protein,Active Energy,Basal Energy,Steps,Carbs,Fat
2026-03-03,90.0,,,135.659,1960.37,2626.91,,
2026-03-04,90.0,,,110.553,1853.47,3083.0,,
2026-03-05,90.0,,,,,3563.0,,
2026-03-06,90.0,,,,,4257.0,,
2026-03-07,90.0,,,,,2581.94,,
2026-03-08,90.0,1828.72,142.97,893.338,1544.86,11923.4,,
2026-03-09,90.0,1872.42,143.158,1214.38,2132.68,12305.0,,
2026-03-10,90.0,,,41.7907,1887.87,545.548,,
2026-03-11,90.0,,,1169.21,2197.37,13331.8,,
2026-03-12,90.0,,,1090.59,2179.93,11593.0,,
2026-03-13,90.0,,,608.433,2073.48,8492.88,,
2026-03-14,90.0,,,2.407,1865.87,2364.0,,
2026-03-15,90.0,,,320.979,1909.54,10085.0,,
2026-03-16,90.0,1951.12,140.03,890.87,2086.61,10660.0,,
2026-03-17,90.0,,,1501.57,2083.9,12734.0,,
2026-03-18,90.0,,,781.156,2164.09,10408.1,,
2026-03-19,90.0,,,1421.36,2141.64,11713.0,,
2026-03-20,90.0,,,981.226,2036.05,4389.29,,
2026-03-21,90.0,,,50.0741,1875.94,854.881,,
2026-03-22,90.0,1892.57,137.07,1030.69,2129.69,11989.2,,
2026-03-23,90.0,1933.22,150.94,886.917,2062.72,10621.0,,
2026-03-24,90.0,,,915.646,2136.19,13011.0,,
2026-03-25,90.0,,,77.8777,1909.76,2575.04,,
2026-03-26,90.0,1521.44,120.835,1457.61,2115.41,11746.6,,
2026-03-27,90.0,,,462.265,2089.96,5841.78,,
2026-03-28,90.0,,,142.276,1963.2,1369.21,,
2026-03-29,90.0,2127.42,158.952,973.043,2182.44,12120.0,,
2026-03-30,90.0,2042.47,164.708,1388.85,2099.57,10669.0,,
2026-03-31,90.0,1649.17,148.93,1452.92,2123.71,12073.0,,
2026-04-01,90.0,,,143.648,1939.91,3332.91,,
2026-04-02,90.0,2029.0,155.865,1007.95,2149.69,12354.5,,
2026-04-03,90.0,,,89.1726,975.752,2084.0,,
2026-04-04,90.0,,,91.087,1914.85,1538.83,,
2026-04-05,90.0,1712.06,155.535,1365.11,2038.15,12169.4,,
2026-04-06,90.0,1979.04,151.946,1657.97,2135.06,11054.9,,
2026-04-07,90.0,1927.62,151.317,1481.48,2077.7,11884.2,,
2026-04-08,90.0,1544.98,131.935,522.335,2022.74,6593.0,,
2026-04-09,90.0,,,84.4826,1661.88,1516.0,,
2026-04-10,90.0,,,1330.82,1962.69,5583.16,,
2026-04-11,90.0,,,39.61,1883.71,1368.3,,
2026-04-12,90.0,,,1032.47,2182.48,10200.1,,
2026-04-13,90.0,,,653.886,2137.76,8332.03,,
2026-04-14,90.0,,,8.23351,1867.09,6667.0,,
2026-04-15,90.0,,,155.001,1921.98,2492.26,,
2026-04-16,90.0,,,397.224,2095.52,4693.96,,
2026-04-17,90.0,,,333.615,2002.09,2646.43,,
2026-04-18,90.0,,,162.782,1985.37,1678.49,,
2026-04-19,90.0,1685.99,156.775,1273.5,2235.14,12038.9,,
2026-04-20,89.98574285714285,1810.04,146.495,1602.38,2148.09,11463.6,,
2026-04-21,89.97148571428572,,,301.814,2034.12,5844.73,,
2026-04-22,89.95722857142857,1565.55,138.126,1105.24,2200.38,12443.0,,
2026-04-23,89.94297142857143,1825.24,158.447,1144.41,2197.48,12050.0,,
2026-04-24,89.92871428571428,678.34,49.355,1761.15,2222.89,9357.19,,
2026-04-25,89.91445714285715,,,188.784,2092.22,1370.08,,
2026-04-26,89.9002,1802.28,161.745,1168.31,2234.56,11150.2,,
2026-04-27,88.5,2671.5,243.153,1821.63,2308.16,12892.9,,
2026-04-28,88.0001,1680.95,86.156,804.732,2193.27,10428.0,,
2026-04-29,88.0001,,,999.179,867.215,5170.94,,
2026-06-02,70.0,1997.0,170.0,,,,250.0,70.0
